state,capital,latitude,longitude
alabama,montgomery,32.361538,-86.279118
alaska,juneau,58.301935,-134.419740
arizona,phoenix,33.448457,-112.073844
arkansas,little rock,34.736009,-92.331122
california,sacramento,38.555605,-121.468926
colorado,denver,39.7391667,-104.984167
connecticut,hartford,41.767,-72.677
delaware,dover,39.161921,-75.526755
florida,tallahassee,30.4518,-84.27277
georgia,atlanta,33.76,-84.39
hawaii,honolulu,21.30895,-157.826182
idaho,boise,43.613739,-116.237651
illinois,springfield,39.783250,-89.650373
indiana,indianapolis,39.790942,-86.147685
iowa,des moines,41.590939,-93.620866
kansas,topeka,39.04,-95.69
kentucky,frankfort,38.197274,-84.86311
louisiana,baton rouge,30.45809,-91.140229
maine,augusta,44.323535,-69.765261
maryland,annapolis,38.972945,-76.501157
massachusetts,boston,42.2352,-71.0275
michigan,lansing,42.7335,-84.5467
minnesota,saint paul,44.95,-93.094
mississippi,jackson,32.320,-90.207
missouri,jefferson city,38.572954,-92.189283
montana,helana,46.595805,-112.027031
nebraska,lincoln,40.809868,-96.675345
nevada,carson city,39.160949,-119.753877
new hampshire,concord,43.220093,-71.549127
new jersey,trenton,40.221741,-74.756138
new mexico,santa fe,35.667231,-105.964575
new york,albany,42.659829,-73.781339
north carolina,raleigh,35.771,-78.638
north dakota,bismarck,48.813343,-100.779004
ohio,columbus,39.962245,-83.000647
oklahoma,oklahoma city,35.482309,-97.534994
oregon,salem,44.931109,-123.029159
pennsylvania,harrisburg,40.269789,-76.875613
rhode island,providence,41.82355,-71.422132
south carolina,columbia,34.000,-81.035
south dakota,pierre,44.367966,-100.336378
tennessee,nashville,36.165,-86.784
texas,austin,30.266667,-97.75
utah,salt lake city,40.7547,-111.892622
vermont,montpelier,44.26639,-72.57194
virginia,richmond,37.54,-77.46
washington,olympia,47.042418,-122.893077
west virginia,charleston,38.349497,-81.633294
wisconsin,madison,43.074722,-89.384444
wyoming,cheyenne,41.145548,-104.802042
